Date,Species Totals,9/11/17,9/12/17,9/13/17,9/14/17,9/15/17,9/16/17,9/17/17,9/18/17,9/19/17,9/20/17,9/21/17,9/22/17,9/23/17,9/24/17,9/25/17,9/26/17,9/27/17,9/28/17,9/29/17,9/30/17,10/1/17,10/2/17,10/3/17,10/4/17,10/5/17,10/6/17,10/7/17,10/8/17,10/9/17,10/10/17,10/11/17,10/12/17,10/13/17,10/14/17,10/15/17,10/16/17,10/17/17,10/18/17,10/19/17,10/20/17,10/21/17,10/22/17,10/23/17,10/24/17,10/25/17,10/26/17,10/27/17,10/28/17,10/29/17,10/30/17,10/31/17,11/1/17,11/2/17,11/3/17,11/4/17,11/5/17,11/6/17,11/7/17,11/8/17,11/9/17,11/10/17,11/11/17,11/12/17,11/14/17,11/15/17,11/16/17,11/17/17
Minutes of Observation,16050,300,130,60,110,330,240,60,240,,345,270,315,180,300,300,,120,300,300,300,300,300,195,300,300,300,300,300,180,250,300,300,315,300,105,315,270,315,300,315,300,300,120,225,120,90,300,330,300,60,330,300,,285,300,300,180,135,300,300,300,300,300,155,300,180,180
Time(s) of Observation,,"6:30-9:30, 3:30-5:30",6:20-7:30; 9:00-10:00,6:27-7:27,6:15 - 8:00,6;15-10:15; 4-5:30,6:15-7:45; 4-6,6:10-7:10,6-7:45;4-6:15,,6-9:30;4-6:15,"615-945,415-615","615-930,415-615",615-915,"615-915, 415-615",6:15-9:15;4:15-6:15,,6:15-7:15; 4:15-5:15,6:15-9:15;4:15-6:15,630-930;400-600,630-930;4-6,630-930;4-6,630-930;4-6,615-930,630-930;4-6,630-930;4-6,"""","""",630-930;4-6,630-830;4-5,630-940;5-6,"645-945,345-545","""",645-945;345-6,645-945;345-545,645-830; fog,645-945;345-6,630-930;330-6,645-945;345-6,645-945;345-545,645-945;345-6,645-945;345-545,7-10;330-530,FOG;330-530,645-930;4-5,330-530,7-8;330-4,7-10;330-530,7-10;3-530,7-10;330-530,,7-10;330-6,7-10;330-530,,7-10;315-5,7-10;315-515,615-915;215-415,615-715;215-415,645-9,615-915;215-415,615-915;215-415,615-915;215-415,615-915;215-415,615-915;2-4,625-9,630-930;2-4,600-900,600-900
Principle Observer,,Andrew Wolfgang,Seth Benz,STB,AS,AS,AS,AS,AS,,AS,AS,AS/SB,AS,AS,AS,,AS,AS,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,,AS,AS,,AS,AS,AS,AS,SB,AS,AS,AS,AS,AS,SB,AS,AS,AS
General Wind Dir/Velocity,,NW-10; NW -6,Var 0-2 (Check this),SSW 1-3,No Data,"""Mild""","""Calm""",Calm 1-3,VAR 1-3,,W 5-10; W-13,S-4-10; 7-15,S 5-6,FOG,W-SW 4-7,Var 1-3,,FOG,Var 1-3; NW 15-20,No Wind Dir. 1-3,No Wind Dir 1-3,NWD 1-3;3-6,No Data,NW 0-3,SW 4-6,W 7,Calm 1-3,Calm 1-3,Windy 12-15,? 1-3,WNW 0-5,Calm 1-3,no data,? 1-3,? 4-7,Var 1-3,Var 1-3,"S 1-3, WSW 3-8",? 12-15,?,?,"?  ""calm 1-3""",?,?,S 5-10; SSE 15-20,"rain, wind ","R, F; W4-7",? Big Winds,? 1-3,? 1-3,Weather,S 15-20,? 3-5,,Calm 1-3,? 5-10,E 15-20, ? 6-7,WNW 3-8,NNE 3,NNE 1-5,W - WNW,WNW 12-20,SSE 1-3,N 3-12,NNE 5-9,SSW 2-4,WNW 15-18
Bird sp.,3140,0,6,,1,,,,,,,16,45,,8,12,,,,37,200,49,130,112,1,41,60,197,182,1,17,109,205,159,30,,41,41,31,47,12,89,324,16,13,,,4,252,46,,12,77,,22,184,152,60,1,1,26,3,34,24,10,,,
DCCO,16626,402,136,67,19,64,12,,,,75,253,109,4,1,66,,,6,96,191,4,47,385,123,35,35,237,22,11,24,556,369,497,772,54,133,617,402,276,217,942,552,74,52,,25,157,2756,1075,,65,795,,2939,334,398,,12,2,40,1,7,45,30,8,,
COEI,5993,46,7,1,,6,1,,,,7,25,8,1,21,19,,,2,6,48,16,58,317,96,41,87,234,28,49,46,228,214,213,243,68,50,204,231,514,35,159,351,210,741,,,21,275,91,,26,18,,85,17,553,1,72,26,17,16,13,32,42,5,50,2
CANG,147,,,,,18,,,,,,,,,,6,,,,,44,36,3,,,,,,,,,9,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
NOGA,1753,25,,20,19,6,7,,,,,,,,1,1,,,3,2,1,10,11,23,11,4,20,11,4,4,49,38,26,44,116,3,93,46,81,48,32,28,36,66,154,,32,33,126,73,,52,40,,19,69,20,38,38,7,18,26,37,26,34,5,,17
COLO,931,32,24,5,,5,2,,,,10,28,11,2,9,3,,,,12,6,23,18,78,24,12,20,30,2,,16,19,21,27,15,4,15,27,78,22,22,30,38,2,48,,,7,25,27,,3,39,,10,15,26,,2,4,5,6,5,9,,6,1,1
